14.7.2025;18:00:00;iBV;Stjarnan;Hasteinsvollur
14.7.2025;19:15:00;iA;KR;ELKEM vollurinn
14.7.2025;19:15:00;Afturelding;Fram;Malbikstodin ad Varma
19.7.2025;14:00:00;Breidablik;Vestri;Kopavogsvollur
20.7.2025;17:00:00;FH;KA;Kaplakrikavollur
20.7.2025;19:15:00;Vikingur R.;Valur;Vikingsvollur
27.7.2025;14:00:00;Vestri;iBV;Kerecisvollurinn
27.7.2025;19:15:00;KR;Breidablik;Meistaravellir
27.7.2025;19:15:00;Valur;FH;N1-vollurinn Hlidarenda
27.7.2025;19:15:00;KA;iA;Greifavollurinn
27.7.2025;19:15:00;Fram;Vikingur R.;Lambhagavollurinn
28.7.2025;19:15:00;Stjarnan;Afturelding;Samsungvollurinn
2.8.2025;14:00:00;iBV;KR;Hasteinsvollur
5.8.2025;19:15:00;FH;Vikingur R.;Kaplakrikavollur
5.8.2025;19:15:00;iA;Valur;ELKEM vollurinn
5.8.2025;19:15:00;Breidablik;KA;Kopavogsvollur
6.8.2025;18:00:00;Afturelding;Vestri;Malbikstodin ad Varma
6.8.2025;19:15:00;Fram;Stjarnan;Lambhagavollurinn
10.8.2025;14:00:00;KA;iBV;Greifavollurinn
10.8.2025;14:00:00;Vestri;Fram;Kerecisvollurinn
10.8.2025;19:15:00;Vikingur R.;Stjarnan;Vikingsvollur
10.8.2025;19:15:00;Valur;Breidablik;N1-vollurinn Hlidarenda
11.8.2025;19:15:00;KR;Afturelding;Meistaravellir
11.8.2025;19:15:00;FH;iA;Kaplakrikavollur
17.8.2025;14:00:00;Stjarnan;Vestri;Samsungvollurinn
17.8.2025;14:00:00;iBV;Valur;Hasteinsvollur
17.8.2025;17:00:00;Afturelding;KA;Malbikstodin ad Varma
17.8.2025;18:00:00;iA;Vikingur R.;ELKEM vollurinn
17.8.2025;19:15:00;Breidablik;FH;Kopavogsvollur
18.8.2025;19:15:00;Fram;KR;Lambhagavollurinn
24.8.2025;14:00:00;Vikingur R.;Vestri;Vikingsvollur
24.8.2025;17:00:00;KA;Fram;Greifavollurinn
24.8.2025;17:00:00;iA;Breidablik;ELKEM vollurinn
24.8.2025;18:00:00;FH;iBV;Kaplakrikavollur
25.8.2025;18:00:00;KR;Stjarnan;Meistaravellir
25.8.2025;19:15:00;Valur;Afturelding;N1-vollurinn Hlidarenda
31.8.2025;14:00:00;Vestri;KR;Kerecisvollurinn
31.8.2025;14:00:00;iBV;iA;Hasteinsvollur
31.8.2025;17:00:00;Afturelding;FH;Malbikstodin ad Varma
31.8.2025;17:00:00;Stjarnan;KA;Samsungvollurinn
31.8.2025;19:15:00;Fram;Valur;Lambhagavollurinn
31.8.2025;19:15:00;Vikingur R.;Breidablik;Vikingsvollur
14.9.2025;14:00:00;FH;Fram;Kaplakrikavollur
14.9.2025;14:00:00;KR;Vikingur R.;Meistaravellir
14.9.2025;14:00:00;iA;Afturelding;ELKEM vollurinn
14.9.2025;14:00:00;Breidablik;iBV;Kopavogsvollur
14.9.2025;14:00:00;KA;Vestri;Greifavollurinn
14.9.2025;14:00:00;Valur;Stjarnan;N1-vollurinn Hlidarenda
